"category","description","met",
"Occupation","steel mill, moderate effort (e.g., fettling, forging, tipping molds)","5.3",
"Occupation","steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace)","8.3",
"Occupation","tailoring, cutting fabric","2.3",
"Occupation","tailoring, general","2.5",
"Occupation","tailoring, hand sewing","1.8",
"Occupation","tailoring, machine sewing","2.5",
"Occupation","tailoring, pressing","3.5",
"Occupation","tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)","2",
"Occupation","tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yam to spinners, loading of warp bean, pinwinding, conewinding, warping, cloth cutting)","4",
"Occupation","truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads","6.5",
"Occupation","typing, electric, manual or computer","1.3",
"Occupation","using heavy power tools such as pneumatic tools (e.g., jackhammers, drills)","6.3",
"Occupation","using heavy tools (not power) such as shovel, pick, tunnel bar, spade","8",
"Occupation","walking on job, less than 2.0 mph, very slow speed, in office or lab area","2",
"Occupation","walking on job, 3.0 mph, in office, moderate speed, not carrying anything","3.5",
"Occupation","walking on job, 3.5 mph, in office, brisk speed, not carrying anything","4.3",
"Occupation","walking on job, 2.5 mph, slow speed and carrying light objects less than 25 pounds","3.5",
"Occupation","walking, gathering things at work, ready to leave","3",
"Occupation","walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs","3.8",
"Occupation","walking, 3.0 mph, moderately and carrying light objects less than 25 lbs","4.5",
"Occupation","walking, pushing a wheelchair","3.5",
"Occupation","walking, 3.5 mph, briskly and carrying objects less than 25 pounds","4.8",
"Occupation","walking or walk downstairs or standing, carrying objects about 25 to 49 pounds","5",
"Occupation","walking or walk downstairs or standing, carrying objects about 50 to 74 pounds","6.5",
"Occupation","walking or walk downstairs or standing, carrying objects about 75 to 99 pounds","7.5",
"Occupation","walking or walk downstairs or standing, carrying objects about 100 pounds or over","8.5",
"Occupation","working in scene shop, theater actor, backstage employee","3",
"Occupation","teach physical education, exercise, sports classes (participate in the class)",
"Running","jog/walk combination (jogging component of less than 10 minutes)","6",
"Running","jogging, general","7",
"Running","jogging, in place","8",
"Running","jogging, on a mini-tramp","4.5",
"Running","running, 4 mph (15 min/mile)","6.0",
"Running","running, 5 mph (12 min/mile)","8.3",
"Running","running, 5.2 mph (11.5 min/mile)","9",
"Running","running, 6 mph (10 min/mile)","9.8",
"Running","running, 6.7 mph (9 min/mile)","10.5",
"Running","running, 7 mph (8.5 min/mile)","11",
"Running","running, 7.5 mph (8 min/mile)","11.8",
"Running","running, 8 mph (7.5 min/mile)","11.8",
"Running","running, 8.6 mph (7 min/mile)","12.3",
"Running","running, 9 mph (6.5 min/mile)","12.8",
"Running","running, 10 mph (6 min/mile)","14.5",
"Running","running, 11 mph (5.5 min/mile)","16",
"Running","running, 12 mph (5 min/mile)","19.0",
"Running","running, 13 mph (4.6 min/mile)","19.8",
"Running","running, 14 mph (4.3 min/mile)","23",
"Running","running, cross country","9",
"Running","running","8",
"Running","running, stairs, up","15",
"Running","running, on a track, team practice","10",
"Running","running, training, pushing a wheelchair or baby carrier","8",
"Running","running, marathon","13.3",
"Self Care","getting ready for bed, general, standing","2.3",
"Self Care","sitting on toilet, eliminating while standing or squating","1.8",
"Self Care","bathing, sitting","1.5",
"Self Care","dressing, undressing, standing or sitting","2.5",
"Self Care","eating, sitting","1.5",
"Self Care","talking and eating or eating only, standing","2",
"Self Care","taking medication, sitting or standing","1.5",
"Self Care","grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing","2",
"Self Care","hairstyling, standing","2.5",
"Self Care","having hair or nails done by someone else, sitting","1.3",
"Self Care","showering, toweling off, standing","2",
"Sexual Activity","active, vigorous effort","2.8",
"Sexual Activity","general, moderate effort","1.8",
"Sexual Activity","passive, light effort, kissing, hugging","1.3",
"Sports","Alaska Native Games, Eskimo Olympics, general","5.5",
"Sports","archery, non-hunting","4.3",
"Sports","badminton, competitive","7",
"Sports","badminton, social singles and doubles, general","5.5",
"Sports","basketball, game","8",
"Sports","basketball, non-game, general","6",
"Sports","basketball, general","6.5",
"Sports","basketball, officiating","7",
"Sports","basketball, shooting baskets","4.5",
"Sports","basketball, drills, practice","9.3",
"Sports","basketball, wheelchair","7.8",
"Sports","billiards","2.5",
"Sports","bowling","3",
"Sports","bowling, indoor, bowling alley","3.8",
"Sports","boxing, in ring, general","12.8",
"Sports","boxing, punching bag","5.5",
"Sports","boxing, sparring","7.8",
"Sports","broomball","7",
"Sports","children’s games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, arcade games), moderate effort","5.8",
"Sports","cheerleading, gymnastic moves, competitive","6.0",
"Sports","coaching, football, soccer, basketball, baseball, swimming, etc.","4",
"Sports","coaching, actively playing sport with players","8",
"Sports","cricket, batting, bowling, fielding","4.8",
"Sports","croquet","3.3",
"Sports","curling","4",
"Sports","darts, wall or lawn","2.5",
"Sports","drag racing, pushing or driving a car","6",
"Sports","auto racing, open wheel","8.5",
"Sports","fencing","6",
"Sports","football, competitive","8",
"Sports","football, touch, flag, general","8",
"Sports","football, touch, flag, light effort","4.0",
"Sports","football or baseball, playing catch","2.5",
"Sports","frisbee playing, general","3",
"Sports","frisbee, ultimate","8",
"Sports","golf, general","4.8",
"Sports","golf, walking, carrying clubs","4.3",
"Sports","golf, miniature, driving range","3",
"Sports","golf, pulling clubs",,
"Sports","golf, walking, pulling clubs","5.3",
"Sports","golf, using power cart","3.5",
"Sports","gymnastics, general","3.8",
"Sports","hacky sack","4",
"Sports","handball, general","12",
"Sports","handball, team","8",
"Sports","high ropes course, multiple elements","4",
"Sports","hang gliding","3.5",
"Sports","hockey, field","7.8",
"Sports","hockey, ice, general","8",
"Sports","hockey, ice, competitive","10.0",
"Sports","horseback riding, general","5.5",
"Sports","horse chores, feeding, watering, cleaning stalls, implied walking and lifting loads","4.3",
"Sports","saddling, cleaning, grooming, harnessing and unharnessing horse","4.5",
"Sports","horseback riding, trotting","5.8",
"Sports","horseback riding, canter or gallop","7.3",
"Sports","horseback riding,walking","3.8",
"Sports","horseback riding, jumping","9.0",
"Sports","horse cart, driving, standing or sitting","1.8",
"Sports","horseshoe pitching, quoits","3",
"Sports","jai alai","12",
"Sports","martial arts, different types, slower pace, novice performers, practice","5.3",
"Sports","martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing)","10.3",
"Sports","juggling","4",
"Sports","kickball","7",
"Sports","lacrosse","8",
"Sports","lawn bowling, bocce ball, outdoor","3.3",
"Sports","moto-cross, off-road motor sports, all-terrain vehicle, general","4",
"Sports","orienteering","9",
"Sports","paddleball, competitive","10",
"Sports","paddleball, casual, general","6",
"Sports","polo, on horseback","8",
"Sports","racquetball, competitive","10",
"Sports","racquetball, general","7",
"Sports","rock or mountain climbing","8.0",
"Sports","rock climbing, ascending rock, high difficulty","7.5",
"Sports","rock climbing, ascending or traversing rock, low-to-moderate difficulty","5.8",
"Sports","rock climbing, rappelling","5",
"Sports","rodeo sports, general, light effort","4",
"Sports","rodeo sports, general, moderate effort","5.5",
"Sports","rodeo sports, general, vigorous effort","7.0",
"Sports","rope jumping, fast pace, 120-160 skips/min","12.3",
"Sports","rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce","11.8",
"Sports","rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce","8.8",
"Sports","rugby, union, team, competitive","8.3",
"Sports","rugby, touch, non-competitive","6.3",
"Sports","shuffleboard","3",
"Sports","skateboarding, general, moderate effort","5",
"Sports","skateboarding, competitive, vigorous effort","6.0",
"Sports","skating, roller","7",
"Sports","rollerblading, in-line skating, 14.4 km/h (9.0 mph), recreational pace","7.5",
"Sports","rollerblading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training","9.8",
"Sports","rollerblading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training","12.3",
"Sports","rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort","14",
"Sports","skydiving, base jumping, bungee jumping","3.5",
"Sports","soccer, competitive","10",
"Sports","soccer, casual, general","7",
"Sports","softball or baseball, fast or slow pitch, general","5",
"Sports","softball, practice","4.0",
"Sports","softball, officiating","4",
"Sports","softball,pitching","6",
"Sports","sports spectator, very excited, emotional, physically moving","3.3",
"Sports","squash ","12",
"Sports","squash, general","7.3",
"Sports","table tennis, ping pong","4",
"Sports","tai chi, qi gong, general","3",
"Sports","tai chi, qi gong, sitting, light effort","1.5",
"Sports","tennis, general","7.3",
"Sports","tennis, doubles ","6",
"Sports","tennis, doubles","4.5",
"Sports","tennis, singles","8",
"Sports","tennis, hitting balls, non-game play, moderate effort","5.0",
"Sports","trampoline, recreational","3.5",
"Sports","trampoline, competitive","4.5",
"Sports","volleyball","4",
"Sports","volleyball, competitive, in gymnasium","6",
"Sports","volleyball, non-competitive, 6 - 9 member team, general","3",
"Sports","volleyball, beach, in sand","8",
"Sports","wrestling (one match = 5 minutes)","6",
"Sports","wallyball, general","7",
"Sports","track and field (e.g., shot, discus, hammer throw)","4",
"Sports","track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)","6",
"Sports","track and field (e.g., steeplechase, hurdles)","10",
"Transportation","automobile or light truck (not a semi) driving","2.5",
"Transportation","riding in a car or truck","1.3",
"Transportation","riding in a bus or train","1.3",
"Transportation","flying airplane or helicopter","1.8",
"Transportation","motor scooter, motorcycle","2.8",
"Transportation","pulling rickshaw","6.3",
"Transportation","pushing plane in and out of hangar","6",
"Transportation","truck, semi, tractor, > 1 ton, or bus, driving","2.5",
"Transportation","walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface","3.5",
"Walking","backpacking","7",
"Walking","backpacking, hiking or organized walking with a daypack","7.8",
"Walking","carrying 15 pound load (e.g. suitcase), level ground or downstairs","5",
"Walking","carrying 15 lb child, slow walking","2.3",
"Walking","carrying load upstairs, general","8.3",
"Walking","carrying 1 to 15 lb load, upstairs","5",
"Walking","carrying 16 to 24 lb load, upstairs","6",
"Walking","carrying 25 to 49 lb load, upstairs","8",
"Walking","carrying 50 to 74 lb load, upstairs","10",
"Walking","carrying > 74 lb load, upstairs","12",
"Walking","loading /unloading a car, implied walking","3.5",
"Walking","climbing hills, no load","6.3",
"Walking","climbing hills with 0 to 9 lb load","6.5",
"Walking","climbing hills with 10 to 20 lb load","7.3",
"Walking","climbing hills with 21 to 42 lb load","8.3",
"Walking","climbing hills with 42+ lb load","9",
"Walking","descending stairs","3.5",
"Walking","hiking, cross country ","6",
"Walking","hiking or walking at a normal pace through fields and hillsides","5.3",
"Walking","bird watching, slow walk","2.5",
"Walking","marching, moderate speed, military, no pack","4.5",
"Walking","marching rapidly, military, no pack","8",
"Walking","pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph","4",
"Walking","pushing a wheelchair, non-occupational","3.8",
"Walking","race walking","6.5",
"Walking","rock or mountain climbing ",
"Walking","stair climbing, using or climbing up ladder","8",
"Walking","stair climbing, slow pace","4.0",
"Walking","stair climbing, fast pace","8.8",
"Walking","using crutches","5",
"Walking","walking, household","2",
"Walking","walking, less than 2.0 mph, level, strolling, very slow","2",
"Walking","walking, 2.0 mph, level, slow pace, firm surface","2.8",
"Walking","walking for pleasure","3.5",
"Walking","walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite","2.5",
"Walking","walking to neighbor’s house or family’s house for social reasons","2.5",
"Walking","walking the dog","3",
"Walking","walking, 2.5 mph, level, firm surface","3",
"Walking","walking, 2.5 mph, downhill","3.3",
"Walking","walking, 2.8 to 3.2 mph, level, moderate pace, firm surface","3.5",
"Walking","walking, 3.5 mph, level, brisk, firm surface, walking for exercise","4.3",
"Walking","walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade","5.3",
"Walking","walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade","8",
"Walking","walking, 4.0 mph, level, firm surface, very brisk pace","5",
"Walking","walking, 4.5 mph, level, firm surface, very, very brisk","7",
"Walking","walking, 5.0 mph, level, firm surface","8.3",
"Walking","walking, 5.0 mph, uphill, 3% grade","9.8",
"Walking","walking, for pleasure, work break","3.5",
"Walking","walking, grass track","4.8",
"Walking","walking, normal pace, plowed field or sand","4.5",
"Walking","walking, to work or class","4",
"Walking","walking, to and from an outhouse","2.5",
"Walking","walking, for exercise, 3.5 to 4 mph, with ski poles, Nordic walking, level, moderate pace","4.8",
"Walking","walking, for exercise, 5.0 mph, with ski poles, Nordic walking, level, fast pace","9.5",
"Walking","walking, for exercise, with ski poles, Nordic walking, uphill","6.8",
"Walking","walking, backwards, 3.5 mph, level","6",
"Walking","walking, backwards, 3.5 mph, uphill, 5% grade","8.0",
"Water Activities","boating, power, driving","2.5",
"Water Activities","boating, power, passenger, light","1.3",
"Water Activities","canoeing, on camping trip ","4",
"Water Activities","canoeing, harvesting wild rice, knocking rice off the stalks","3.3",
"Water Activities","canoeing, portaging","7",
"Water Activities","canoeing, rowing, 2.0-3.9 mph, light effort","2.8",
"Water Activities","canoeing, rowing, 4.0-5.9 mph, moderate effort","5.8",
"Water Activities","canoeing, rowing, kayaking, competition, >6 mph, vigorous effort","12.5",
"Water Activities","canoeing, rowing, for pleasure, general","3.5",
"Water Activities","canoeing, rowing, in competition, or crew or sculling","12",
"Water Activities","diving, springboard or platform","3",
"Water Activities","kayaking, moderate effort","5",
"Water Activities","paddle boat","4",
"Water Activities","sailing, boat and board sailing, windsurfing, ice sailing, general","3",
"Water Activities","sailing, in competition","4.5",
"Water Activities","sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure","3.3",
"Water Activities","skiing, water or wakeboarding","6",
"Water Activities","jet skiing, driving, in water","7",
"Water Activities","skindiving, fast","15.8",
"Water Activities","skindiving, moderate","11.8",
"Water Activities","skindiving, scuba diving, general","7",
"Water Activities","snorkeling","5",
"Water Activities","surfing, body or board, general","3",
"Water Activities","surfing, body or board, competitive","5",
"Water Activities","paddle boarding, standing","6",
"Water Activities","swimming laps, freestyle, fast, vigorous effort","9.8",
"Water Activities","swimming laps, freestyle, front crawl, slow, light or moderate effort","5.8",
"Water Activities","swimming, backstroke, general, training or competition","9.5",
"Water Activities","swimming, backstroke, recreational","4.8",
"Water Activities","swimming, breaststroke, general, training or competition","10.3",
"Water Activities","swimming, breaststroke, recreational","5.3",
"Water Activities","swimming, butterfly, general","13.8",
"Water Activities","swimming, crawl, fast speed, ~75 yards/minute, vigorous effort","10",
"Water Activities","swimming, crawl, medium speed, ~50 yards/minute, vigorous effort","8.3",
"Water Activities","swimming, lake, ocean, river","6",
"Water Activities","swimming, leisurely, not lap swimming, general","6",
"Water Activities","swimming, sidestroke, general","7",
"Water Activities","swimming, synchronized","8",
"Water Activities","swimming, treading water, fast, vigorous effort","9.8",
"Water Activities","swimming, treading water, moderate effort, general","3.5",
"Water Activities","tubing, floating on a river, general","2.3",
"Water Activities","water aerobics, water calisthenics","5.5",
"Water Activities","water polo","10",
"Water Activities","water volleyball","3",
"Water Activities","water jogging","9.8",
"Water Activities","water walking, light effort, slow pace","2.5",
"Water Activities","water walking, moderate effort, moderate pace","4.5",
"Water Activities","water walking, vigorous effort, brisk pace","6.8",
"Water Activities","whitewater rafting, kayaking, or canoeing","5",
"Water Activities","windsurfing, not pumping for speed","5",
"Water Activities","windsurfing or kitesurfing, crossing trial","11",
"Water Activities","windsurfing, competition, pumping for speed","13.5",
"Winter Activities","dog sledding, mushing","7.5",
"Winter Activities","dog sledding, passenger","2.5",
"Winter Activities","moving ice house, set up/drill holes","6",
"Winter Activities","ice fishing, sitting","2.0",
"Winter Activities","skating, ice dancing","14.0",
"Winter Activities","skating, ice, 9 mph or less","5.5",
"Winter Activities","skating, ice, general","7",
"Winter Activities","skating, ice, rapidly, more than 9 mph, not competitive","9",
"Winter Activities","skating, speed, competitive","13.3",
"Winter Activities","ski jumping, climb up carrying skis","7",
"Winter Activities","skiing, general","7",
"Winter Activities","skiing, cross country, 2.5 mph, slow or light effort, ski walking","6.8",
"Winter Activities","skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general","9",
"Winter Activities","skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort","12.5",
"Winter Activities","skiing, cross country, >8.0 mph, elite skier, racing","15",
"Winter Activities","skiing, cross country, hard snow, uphill, maximum, snow mountaineering","15.5",
"Winter Activities","skiing, cross-country, skating","13.3",
"Winter Activities","skiing, cross-country, biathlon, skating technique","13.5",
"Winter Activities","skiing, downhill, alpine or snowboarding, light effort, active time only","4.3",
"Winter Activities","skiing, downhill, alpine or snowboarding, moderate effort, general, active time only","5.3",
"Winter Activities","skiing, downhill, vigorous effort, racing","8",
"Winter Activities","skiing, roller, elite racers","12.5",
"Winter Activities","sledding, tobogganing, bobsledding, luge","7",
"Winter Activities","snow shoeing, moderate effort","5.3",
"Winter Activities","snow shoeing, vigorous effort","10",
"Winter Activities","snowmobiling, driving, moderate","3.5",
"Winter Activities","snowmobiling, passenger","2",
"Winter Activities","snow shoveling, by hand, moderate effort","5.3",
"Winter Activities","snow shoveling, by hand, vigorous effort","7.5",
"Winter Activities","snow blower, walking and pushing","2.5",
"Religious Activities","sitting in church, in service, attending a ceremony, sitting quietly","1.3",
"Religious Activities","sitting, playing an instrument at church","2",
"Religious Activities","sitting in church, talking or singing, attending a ceremony, sitting, active participation","1.8",
"Religious Activities","sitting, reading religious materials at home","1.3",
"Religious Activities","standing quietly in church, attending a ceremony","1.3",
"Religious Activities","standing, singing in church, attending a ceremony, standing, active participation","2",
"Religious Activities","kneeling in church or at home, praying","1.3",
"Religious Activities","standing, talking in church","1.8",
"Religious Activities","walking in church","2",
"Religious Activities","walking, less than 2.0 mph, very slow","2",
"Religious Activities","walking, 3.0 mph, moderate speed, not carrying anything","3.5",
"Religious Activities","walking, 3.5 mph, brisk speed, not carrying anything","4.3",
"Religious Activities","walk/stand combination for religious purposes, usher","2",
"Religious Activities","praise with dance or run, spiritual dancing in church","5",
"Religious Activities","serving food at church","2.5",
"Religious Activities","preparing food at church","2",
"Religious Activities","washing dishes, cleaning kitchen at church","3.3",
"Religious Activities","eating at church","1.5",
"Religious Activities","eating/talking at church or standing eating, American Indian Feast days","2",
"Religious Activities","cleaning church","3.3",
"Religious Activities","general yard work at church","4",
"Religious Activities","standing, moderate effort (e.g., lifting heavy objects, assembling at fast rate)","3.5",
"Religious Activities","standing, moderate-to-heavy effort, manual labor, lifting ? 50 lbs, heavy maintenance","4.5",
"Religious Activities","typing, electric, manual, or computer","1.3",
"Volunteer","sitting, meeting, general, and/or with talking involved","1.5",
"Volunteer","sitting, light office work, in general","1.5",
"Volunteer","sitting, moderate work","2.5",
"Volunteer","standing, light work (filing, talking, assembling)","2.3",
"Volunteer","sitting, child care, only active periods","2",
"Volunteer","standing, child care, only active periods","3",
"Volunteer","walk/run play with children, moderate, only active periods","3.5",
"Volunteer","walk/run play with children, vigorous, only active periods","5.8",
"Volunteer","standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)","3",
"Volunteer","standing, moderate (lifting 50 lbs., assembling at fast rate)","3.5",
"Volunteer","standing, moderate/heavy work","4.5",
"Volunteer","typing, electric, manual, or computer","1.3",
"Volunteer","walking, less than 2.0 mph, very slow","2",
"Volunteer","walking, 3.0 mph, moderate speed, not carrying anything","3.5",
"Volunteer","walking, 3.5 mph, brisk speed, not carrying anything","4.3",
"Volunteer","walking, 2.5 mph slowly and carrying objects less than 25 pounds","3.5",
"Volunteer","walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something","4.5",
"Volunteer","walking, 3.5 mph, briskly and carrying objects less than 25 pounds","4.8",
"Volunteer","walk/stand combination, for volunteer purposes","3",
